Fechas,TCN
2012-11-01,19.98745454545455
2012-12-01,20.066145
2013-01-01,20.14215909090909
2013-02-01,20.219125
2013-03-01,20.28348333333333
2013-04-01,20.35689545454545
2013-05-01,20.442290909090914
2013-06-01,20.522789999999997
2013-07-01,20.59922173913044
2013-08-01,20.60196818181818
2013-09-01,20.668633333333332
2013-10-01,20.672628571428568
2013-11-01,20.694152380952385
2013-12-01,20.737766666666666
2014-01-01,20.77085909090909
2014-02-01,20.818285
2014-03-01,20.87539047619047
2014-04-01,20.919916666666666
2014-05-01,20.96597142857143
2014-06-01,21.06798571428572
2014-07-01,21.11122608695652
2014-08-01,21.20147142857143
2014-09-01,21.315411345848307
2014-10-01,21.43863
2014-11-01,21.505584999999996
2014-12-01,21.626259090909095
2015-01-01,21.757338095238097
